state,winner
AK,trump
MI,trump
ME,clinton
PA,trump
NY,clinton
NJ,clinton
MD,clinton
DC,clinton
DE,clinton
WV,trump
WI,trump
VA,clinton
TN,trump
OH,trump
NC,trump
KY,trump
IN,trump
IL,clinton
VT,clinton
RI,clinton
NH,clinton
CT,clinton
SD,trump
NE,trump
MO,trump
KS,trump
IA,trump
NM,clinton
AZ,trump
ID,trump
HI,clinton
ND,trump
MT,trump
MA,clinton
FL,trump
LA,trump
OR,clinton
WA,clinton
SC,trump
GA,trump
AL,trump
MS,trump
AR,trump
OK,trump
TX,trump
CO,clinton
UT,trump
NV,clinton
CA,clinton
MN,clinton
WY,trump
